time,frequency,confidence
2.450,440.196,0.973461
2.460,440.205,0.970989
2.470,440.409,0.974204
2.480,440.328,0.974650
2.490,440.297,0.974824
2.500,440.276,0.972405
2.510,440.102,0.972926
2.520,440.079,0.968642
2.530,440.230,0.971657
2.540,440.341,0.971248
2.550,440.565,0.974787
2.560,440.274,0.974486
2.570,440.639,0.977472
2.580,440.471,0.976924
2.590,440.715,0.976518
2.600,440.624,0.977349
2.610,440.426,0.977883
2.620,440.183,0.974163
2.630,439.834,0.967029
2.640,440.053,0.969423
2.650,440.385,0.971112
2.660,440.270,0.972456
2.670,440.646,0.972857
2.680,440.465,0.972173
2.690,440.291,0.965409
2.700,440.225,0.966913
2.710,440.050,0.956529
2.720,440.232,0.938823
2.730,441.443,0.934702
2.740,441.989,0.851113
2.750,447.511,0.314406
2.760,496.817,0.854647
2.770,496.232,0.942565
2.780,494.242,0.916618
2.790,494.032,0.944512
2.800,494.111,0.949053
2.810,493.857,0.952112
2.820,493.620,0.954072
2.830,493.667,0.956875
2.840,493.302,0.954809
2.850,492.674,0.942471
2.860,493.286,0.959291
2.870,493.807,0.964179
2.880,494.225,0.965156
2.890,494.090,0.968425
2.900,494.468,0.974436
2.910,494.023,0.968626
2.920,493.518,0.964674
2.930,493.251,0.960572
2.940,493.468,0.965862
2.950,493.397,0.960096
2.960,493.982,0.960060
2.970,494.260,0.958595
2.980,494.696,0.966475
2.990,494.806,0.967139
3.000,495.241,0.970374
3.010,495.518,0.964347
3.020,494.097,0.962719
3.030,494.097,0.960926
3.040,493.900,0.963021
3.050,494.555,0.964240
3.060,494.575,0.964306
3.070,494.811,0.960662
3.080,494.608,0.958755
3.090,494.793,0.958306
3.100,494.627,0.963271
3.110,494.620,0.968959
3.120,494.327,0.966293
3.130,494.176,0.966134
3.140,493.831,0.961819
3.150,493.432,0.955453
3.160,493.678,0.958369
3.170,493.814,0.966385
3.180,493.708,0.964939
3.190,493.559,0.956689
3.200,493.335,0.938186
3.210,493.336,0.913390
3.220,493.604,0.876978
3.230,493.697,0.829475
3.240,497.290,0.527014
3.250,525.844,0.387080
3.260,528.532,0.820658
3.270,525.595,0.899384
3.280,524.038,0.939136
3.290,524.341,0.950554
3.300,524.372,0.945431
3.310,523.913,0.948313
3.320,523.629,0.947497
3.330,524.088,0.952265
3.340,524.328,0.960715
3.350,524.306,0.962546
3.360,524.600,0.964199
3.370,524.630,0.960551
3.380,524.772,0.960744
3.390,524.615,0.960022
3.400,524.588,0.960518
3.410,524.581,0.959722
3.420,524.744,0.960338
3.430,524.363,0.961153
3.440,524.585,0.961267
3.450,524.633,0.960055
3.460,524.078,0.960059
3.470,523.793,0.958819
3.480,524.863,0.956897
3.490,524.913,0.963315
3.500,524.116,0.959294
3.510,524.427,0.958589
3.520,524.681,0.962128
3.530,524.131,0.962361
3.540,524.269,0.960698
3.550,525.029,0.962809
3.560,523.925,0.959425
3.570,523.502,0.952761
3.580,524.058,0.954871
3.590,524.384,0.955107
3.600,523.869,0.954732
3.610,524.491,0.959013
3.620,524.709,0.963428
3.630,524.519,0.962062
3.640,524.461,0.960273
3.650,524.662,0.960590
3.660,524.941,0.961739
3.670,525.324,0.961836
3.680,524.980,0.962070
3.690,523.431,0.944286
3.700,523.536,0.937649
3.710,523.187,0.937327
3.720,523.069,0.937280
3.730,523.691,0.951661
3.740,524.579,0.957804
3.750,524.213,0.961482
3.760,524.344,0.954680
3.770,524.631,0.955333
3.780,523.692,0.949026
3.790,522.938,0.939771
3.800,523.706,0.951325
3.810,524.011,0.954488
3.820,523.326,0.951116
3.830,523.417,0.952451
3.840,523.731,0.956552
3.850,523.804,0.956301
3.860,524.562,0.956753
3.870,524.578,0.958411
3.880,523.812,0.952615
3.890,522.643,0.934120
3.900,522.435,0.935300
3.910,522.783,0.929534
3.920,523.123,0.939914
3.930,523.136,0.931899
3.940,523.608,0.925414
3.950,524.259,0.908879
3.960,525.769,0.882459
3.970,527.211,0.825382
3.980,529.517,0.649884
3.990,534.770,0.729004
4.000,532.888,0.727020
4.010,529.836,0.863498
4.020,525.900,0.900889
4.030,524.251,0.943040
4.040,524.460,0.952321
4.050,524.201,0.945229
4.060,523.939,0.948947
4.070,523.732,0.949189
4.080,523.889,0.951343
4.090,524.224,0.960556
4.100,524.447,0.962925
4.110,524.716,0.965030
4.120,524.685,0.962812
4.130,524.671,0.961932
4.140,524.599,0.961987
4.150,524.724,0.962960
4.160,524.595,0.961414
4.170,524.644,0.961439
4.180,524.493,0.962233
4.190,524.360,0.959321
4.200,524.368,0.954025
4.210,524.353,0.949783
4.220,523.842,0.939366
4.230,524.463,0.919618
4.240,525.327,0.898104
4.250,526.799,0.893165
4.260,528.909,0.885509
4.270,527.554,0.899601
4.280,525.525,0.946327
4.290,524.760,0.954205
4.300,524.453,0.947576
4.310,524.177,0.952571
4.320,523.946,0.952431
4.330,524.097,0.954730
4.340,524.271,0.961208
4.350,524.467,0.961689
4.360,524.967,0.964442
4.370,524.994,0.961908
4.380,524.808,0.960815
4.390,524.711,0.960303
4.400,524.818,0.962141
4.410,524.819,0.960392
4.420,525.031,0.959926
4.430,524.966,0.963280
4.440,524.990,0.963709
4.450,524.579,0.959676
4.460,524.146,0.958432
4.470,523.856,0.958461
4.480,524.300,0.957485
4.490,524.399,0.961858
4.500,524.497,0.961716
4.510,524.662,0.961880
4.520,524.410,0.962168
4.530,524.490,0.964168
4.540,524.431,0.965056
4.550,524.366,0.963641
4.560,523.730,0.960129
4.570,523.870,0.959572
4.580,523.931,0.960047
4.590,524.169,0.958564
4.600,524.254,0.959374
4.610,524.674,0.962056
4.620,524.572,0.964277
4.630,524.813,0.961106
4.640,524.766,0.960191
4.650,524.553,0.960454
4.660,524.899,0.961187
4.670,524.837,0.961227
4.680,524.459,0.961694
4.690,523.428,0.934928
4.700,524.054,0.918316
4.710,524.947,0.894808
4.720,525.662,0.855201
4.730,527.059,0.735039
4.740,527.755,0.242244
4.750,391.585,0.755438
4.760,392.086,0.895435
4.770,391.453,0.913140
4.780,391.191,0.927313
4.790,390.730,0.934700
4.800,391.152,0.930286
4.810,391.806,0.957532
4.820,391.884,0.962797
4.830,391.848,0.965074
4.840,391.755,0.962417
4.850,391.684,0.961719
4.860,391.563,0.955288
4.870,391.354,0.949255
4.880,391.489,0.955378
4.890,391.541,0.954984
4.900,391.757,0.961323
4.910,391.824,0.962557
4.920,391.663,0.961188
4.930,391.771,0.963945
4.940,391.489,0.957764
4.950,391.655,0.960478
4.960,391.437,0.952563
4.970,391.652,0.957812
4.980,391.481,0.954387
4.990,391.521,0.953381
5.000,391.410,0.951835
5.010,391.658,0.955882
5.020,391.677,0.955515
5.030,391.650,0.956309
5.040,391.928,0.962211
5.050,391.642,0.957920
5.060,391.626,0.956218
5.070,391.459,0.953063
5.080,391.463,0.950158
5.090,391.152,0.940085
5.100,391.536,0.949427
5.110,391.564,0.954366
5.120,391.996,0.959888
5.130,391.897,0.959191
5.140,391.686,0.956198
5.150,391.749,0.957277
5.160,391.532,0.956534
5.170,391.683,0.955659
5.180,391.422,0.951878
5.190,391.369,0.946907
5.200,391.256,0.943180
5.210,391.284,0.935576
5.220,391.255,0.933647
5.230,390.340,0.874215
5.240,388.797,0.800088
5.250,388.887,0.815281
5.260,390.181,0.872613
5.270,390.624,0.913871
5.280,390.503,0.931987
5.290,390.361,0.942206
5.300,390.891,0.939046
5.310,391.594,0.953341
5.320,391.588,0.958556
5.330,391.590,0.961598
5.340,391.439,0.957562
5.350,391.422,0.955698
5.360,391.320,0.950580
5.370,391.214,0.945703
5.380,391.367,0.952832
5.390,391.496,0.955217
5.400,391.675,0.960115
5.410,391.769,0.961915
5.420,391.602,0.960551
5.430,391.670,0.963236
5.440,391.393,0.957331
5.450,391.552,0.960350
5.460,391.299,0.952666
5.470,391.517,0.956239
5.480,391.335,0.952280
5.490,391.353,0.950838
5.500,391.250,0.948594
5.510,391.441,0.951765
5.520,391.552,0.954468
5.530,391.476,0.953254
5.540,391.762,0.961106
5.550,391.513,0.957916
5.560,391.506,0.955545
5.570,391.320,0.951356
5.580,391.340,0.950219
5.590,391.053,0.941579
5.600,391.357,0.948688
5.610,391.393,0.951526
5.620,391.783,0.958693
5.630,391.790,0.959589
5.640,391.547,0.953766
5.650,391.646,0.957781
5.660,391.394,0.953325
5.670,391.530,0.953302
5.680,391.341,0.949136
5.690,391.307,0.943469
5.700,391.203,0.937815
5.710,391.249,0.933312
5.720,391.265,0.932453
5.730,391.076,0.862891
5.740,390.559,0.508850
5.750,330.022,0.542328
5.760,329.392,0.789841
5.770,329.346,0.905742
5.780,328.928,0.918224
5.790,327.758,0.947577
5.800,327.683,0.960778
5.810,328.389,0.949843
5.820,328.837,0.952864
5.830,328.845,0.958170
5.840,328.799,0.959312
5.850,328.803,0.956274
5.860,328.761,0.958054
5.870,328.948,0.960057
5.880,328.957,0.956328
5.890,329.073,0.959984
5.900,328.822,0.953437
5.910,328.537,0.951618
5.920,328.374,0.951884
5.930,328.665,0.946240
5.940,328.800,0.948933
5.950,328.957,0.951047
5.960,328.916,0.947829
5.970,328.574,0.936504
5.980,328.669,0.938688
5.990,329.792,0.944538
6.000,331.616,0.925194
6.010,334.656,0.649138
6.020,344.005,0.735564
6.030,346.093,0.872130
6.040,344.776,0.886814
6.050,345.242,0.938885
6.060,346.650,0.956160
6.070,347.645,0.941957
6.080,348.377,0.964129
6.090,348.146,0.952762
6.100,347.427,0.958725
6.110,347.827,0.949794
6.120,348.173,0.953379
6.130,348.668,0.967003
6.140,348.515,0.961010
6.150,348.314,0.956574
6.160,348.083,0.947120
6.170,348.479,0.965993
6.180,348.656,0.970762
6.190,348.492,0.964722
6.200,348.257,0.951430
6.210,348.414,0.954604
6.220,348.830,0.960678
6.230,349.258,0.956896
6.240,349.308,0.901228
6.250,350.863,0.706309
6.260,390.054,0.460523
6.270,391.388,0.830577
6.280,390.589,0.879373
6.290,390.508,0.902094
6.300,391.336,0.915161
6.310,391.198,0.912475
6.320,391.824,0.938047
6.330,391.326,0.934960
6.340,391.612,0.934464
6.350,391.562,0.950333
6.360,391.241,0.936972
6.370,391.431,0.948957
6.380,391.194,0.941596
6.390,391.568,0.950182
6.400,391.550,0.955008
6.410,391.837,0.957787
6.420,391.662,0.962823
6.430,391.630,0.955643
